precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud
2085891070,5.0,5.0,1180.0,766.0,1.0,-33.3825775,-70.5067822
1122717573,7.0,5.0,1203.0,821.0,1.0,-33.3985653,-70.5289324
153635036,1.0,3.0,72.0,0.0,1.0,-33.420865,-70.6417333
393935991,3.0,4.0,155.0,55.0,1.0,-33.4280785,-70.5694421
338784952,2.0,4.0,240.0,161.0,1.0,-33.4277537,-70.5484417
400160179,1.0,3.0,340.0,206.0,1.0,-33.3895641,-70.5328668
235888871,3.0,4.0,144.0,30.0,1.0,-33.5183225,-70.5619149
155000000,2.0,3.0,130.0,0.0,1.0,-33.5599437,-70.5439044
138000000,2.0,3.0,162.0,92.0,1.0,-33.5156648,-70.5829156
159000000,3.0,4.0,180.0,60.0,1.0,-33.5184,-70.552864
170000000,2.0,4.0,165.0,71.0,1.0,-33.5387967,-70.5586811
1181807972,4.0,4.0,880.0,546.0,1.0,-33.323849,-70.5522042
380000000,3.0,4.0,24606.0,10881.0,1.0,-33.4537823,-70.5824313
980900616,5.0,5.0,5000.0,4690.0,1.0,-33.2837388,-70.688822
175000000,3.0,4.0,200.0,0.0,1.0,-33.5977817,-70.5119839
362421111,3.0,4.0,279.0,131.0,1.0,-33.3479443,-70.6727406
98000000,1.0,3.0,92.0,10.0,1.0,-33.5683905,-70.5878478
531813587,5.0,6.0,6000.0,5600.0,1.0,-33.8041822,-70.6721784
925749578,4.0,5.0,525.0,325.0,1.0,-33.336698,-70.549427
748084446,5.0,5.0,356.0,136.0,1.0,-33.402422,-70.511657
342684918,4.0,4.0,315.0,125.0,1.0,-33.3624693,-70.6657479
716963503,3.0,5.0,1400.0,1200.0,1.0,-33.4240462,-70.5256414
136000000,2.0,3.0,110.0,10.0,1.0,-33.4194005,-70.6760102
191058955,3.0,3.0,145.0,35.0,1.0,-33.5612955,-70.7824146
216664795,3.0,3.0,200.0,113.0,1.0,-33.3541197,-70.6850374
161513756,3.0,3.0,216.0,36.0,1.0,-33.5304262,-70.6917938
120000000,2.0,3.0,14515.0,8589.0,1.0,-33.3292027,-70.7500058
303330713,4.0,4.0,353.0,212.0,1.0,-33.5133512,-70.5317522
807568781,4.0,6.0,600.0,350.0,1.0,-33.431652,-70.5574148
165453116,2.0,3.0,210.0,45.0,1.0,-33.411151,-70.7105626
192000000,3.0,4.0,274.0,136.0,1.0,-33.4808374,-70.6270299
1063627174,5.0,5.0,803.0,517.0,1.0,-33.3393017,-70.547495
130000000,1.0,3.0,122.0,68.0,1.0,-33.5543395,-70.5659244
196967995,3.0,3.0,190.0,0.0,1.0,-33.3838089,-70.7200181
150000000,2.0,3.0,1955.0,-9009.0,1.0,-33.498537,-70.6268133
578691970,3.0,4.0,570.0,342.0,1.0,-33.4476502,-70.5900165
905264906,3.0,4.0,5000.0,4770.0,1.0,-33.2687675,-70.6410598
189500000,1.0,3.0,200.0,120.0,1.0,-33.4668533,-70.5738911
156000000,2.0,3.0,130.0,41.0,1.0,-33.5931372,-70.5510282
307270073,3.0,4.0,450.0,330.0,1.0,-33.3049656,-70.6940399
323027512,2.0,4.0,268.0,141.0,1.0,-33.5139917,-70.6098962
350603032,3.0,4.0,280.0,150.0,1.0,-33.3578926,-70.6686473
291512633,2.0,4.0,398.0,298.0,1.0,-33.4905121,-70.5908749
78787198,1.0,3.0,70.0,20.0,1.0,-33.6002385,-70.6982998
586964626,4.0,6.0,475.0,0.0,1.0,-33.6655216,-70.9314152
334845592,4.0,4.0,476.0,336.0,1.0,-33.5125468,-70.5338875
177271196,2.0,5.0,200.0,20.0,1.0,-33.4965029,-70.7484069
559389107,3.0,4.0,360.0,220.0,1.0,-33.4383357,-70.5883756
785902301,5.0,5.0,330.0,160.0,1.0,-33.3505208,-70.5462153
393935991,3.0,4.0,140.0,-100.0,1.0,-33.4279493,-70.5699445
190000000,1.0,3.0,286.0,197.0,1.0,-33.5118315,-70.6142998
102423358,1.0,3.0,192.0,128.0,0.0,-33.3959344,-70.6536623
1510035439,7.0,10.0,3169.0,0.0,1.0,-33.6074518,-70.8736336
311209433,4.0,4.0,345.0,205.0,1.0,-33.5629339,-70.8336592
97000000,1.0,4.0,100.0,0.0,1.0,-33.5349764,-70.6339214
98877934,2.0,3.0,100.0,30.0,1.0,-33.6521446,-70.9001492
307270073,2.0,3.0,290.0,200.0,1.0,-33.4425121,-70.575377
535752947,4.0,4.0,650.0,480.0,1.0,-33.274786,-70.6349071
85000000,2.0,2.0,83.0,32.0,1.0,-33.737023,-70.6825148
