precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud,comuna
126059517.0,2.0,3.0,150.0,75.0,1.0,-33.4736432,-70.5521047,Peñalolén
135000000.0,2.0,5.0,200.0,87.0,1.0,-33.5250272,-70.653219,La Cisterna
95000000.0,1.0,4.0,74.0,-15.0,0.0,-33.4423121,-70.7214769,Lo Prado
157574396.0,2.0,3.0,170.0,50.0,1.0,-33.3633309,-70.6880709,Huechuraba
492419988.0,3.0,5.0,242.0,87.0,1.0,-33.4267616,-70.5420512,Las Condes
110302077.0,2.0,3.0,108.0,42.0,1.0,-33.5611068,-70.7912527,Maipú
295451993.0,2.0,4.0,1120.0,1000.0,1.0,-33.4890057,-70.5309006,Peñalolén
281270297.0,2.0,4.0,140.0,-100.0,1.0,-33.4828662,-70.700125,Cerrillos
184755980.0,3.0,3.0,180.0,70.0,1.0,-33.3628218,-70.7112095,Quilicura
334845592.0,3.0,3.0,174.0,31.0,1.0,-33.4943506,-70.5755755,Peñalolén
268500000.0,2.0,4.0,330.0,210.0,1.0,-33.493261,-70.5968232,Macul
154000000.0,2.0,4.0,125.0,0.0,1.0,-33.4836039,-70.7675205,Maipú
145000000.0,3.0,8.0,700.0,450.0,0.0,-33.586146,-70.695994,San Bernardo
320000000.0,3.0,11.0,270.0,0.0,0.0,-33.4643094,-70.6318584,Santiago
267088602.0,4.0,4.0,5000.0,4580.0,1.0,-33.7009162,-70.9595781,Talagante
