url,precio_uf,banos,dormitorios,superficie_total,superficie_construida,superficie_util,estacionamiento,latitud,longitud,informacion_adicional
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casas-c-zanartu-1577/3493542,4739,1,3,200,121,79.00,Si,-33.512538,-70.754446,"Informacion adicional Alto Coipue Propiedades Vende casa remodelada y aisalada a 5 minutos caminando de metro Plaza Maipu, ideal para uso comercial. Caracteristicas: - Construccion solida - living - comedor - cocina concepto abierto con encimera y campana - conexion a lavadora y secadora en la cocina ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casas-el-estuario-villa-la-fuente-3501/3018718,3700,2,3,115.00,100,15.00,No,-33.497154,-70.740578,"Informacion adicional GRAN OPORTUNIDAD DE CASA EXCELENTE UBICACION CERCANIA A COLEGIOS,CESFAM,SUPERMERCADOS Y AVENIDAS PRINCIPALES DEL GRAN MAIPU. POSEE AL FRENTE DE LA CASA UNA LINDA PLAZA REFACCIONADA QUE MUESTRO EN LAS FOTOS , TIENE UN GRAN DORMITORIO PRINCIPAL CON BANO EN SUITE Y JARDIN INTERIOS TECHADO. LA CASA TIENE QUINCHO TECHADO PISO DE CERAMICA LLAMAME Y AGENDAMOS VISITA ESCRIBEME SIEMPRE AL WHATSAP Y DEJAME TU NOMBRE Y PROPIEDAD QUE TE INTERESA ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/colina/dueno-vende-casa-chicureo-norte/3204983,6400,3,4,271,112,159.00,Si,-33.22811129,-70.6809994,"Informacion adicional Vendo mi Casa estilo Mediterranea, 5 anos de antiguedad. Trato directo con dueno, precio negociable. Si te gusta el Futbol a 3 cuadras esta el Club Oriente de Futbol, con canchas de Futbal y Padel. Pero si lo tuyo es el golf, tienes a 5 min el Club de Golf las Brisas de Chicureo Proximamente abrira un nuevo Strip Center con supermercado, gimnasio, tiendas, estacionamiento y mas. Conjunto Borde Blanco II, Modelo Santa Ana. Casa perimetral, con porton automatico y un moderno diseno, cerco electrico, camaras de seguridad y alarma. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/providencia/casas-sector-santa-isabel-caupolican/3327813,12250,2,3,388,112,276.00,Si,-33.44619401,-70.61682483,"Informacion adicional Vivienda con fachaca a la calle con una entrada de vehiculo directo alpatio trasero de muy buen tamano. Cercano a Barrio Italia, un sector comercialmente consolidado, ademas de permanecer mayoritariamente como sector habitacional, tranquilo y seguro. Aledano a Centro Comercial y lugares de entretenimientos, cercania del Metro y una variada combinacion en la movilizacion colectiva."
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casa-estilo-mediterraneo-ubicada-en-sector-centrico-de-maipu/3482244,7689,4,4,296,220,76.00,Si,-33.504124,-70.748744,"Informacion adicional Gran Oportunidad de inversion en sector centrico de Maipu, La propiedad cuenta con excelente conectividad dado que esta cercana a centros comerciales en la plaza de Maipu, Carabineros, Bomberos, Carretera, Centros de Educacion, Supermercados y Estaciones de Metro (Plaza Maipu-Santiago Bueras). Su estilo y amplitud al interior son un atractivo a la hora de elegirla como tu propiedad, sus principales caracteristicas es que cuenta con Quincho, Terrazas, Piscina, Estacionamientos, Plaza y Control de Acceso Administrado por la Comunidad. Si estas interesado en conocer esta propiedad y sus metodos de financiamiento escribenos (Instragram-Linkdln- Facebook) o Metodos de Pago: Contado y Credito. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/la-florida/casas-canal-las-perdices-6804/3397913,8600,3,4,320,133,187.00,Si,-33.51761509,-70.54126031,"Informacion adicional Casa muy comoda, 4 dormitorios, 3 banos, living comedor, cocina amoblada con loggia, cuenta con aire acondicionado en living comedor y en la mansarda, persianas de seguridad, la casa completa cuenta con ventanas de termo panel, 3 estacionamientos, bodega, sin piscina, El barrio es muy tranquilo con conectividad cerca."
https://www.toctoc.com/propiedades/compraparticularsr/casa/la-cisterna/casas-locarno-0770/3447506,8408,2,4,490,100,390.00,Si,-33.516082,-70.671305,"Informacion adicional En venta propiedad de uso mixto, ideal para fines habitacionales y comerciales, ubicada en una zona de alta demanda. Detalles de la Propiedad: • Superficie Total del Terreno: 490,60 m² • Superficie Construida: 100 m² Area Residencial: • 4 espaciosos dormitorios. • 2 banos completos. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/penalolen/casas-natalia-larrain-vial-4120/2856333,15900,5,5,864,269,595.00,Si,-33.497817,-70.533188,"Informacion adicional Moderna casa de estilo industrial con piso de hormigon pulido, muros de albanileria y vigas de fierro a la vista. Cuenta con hall, gran living comedor, altillo con vista panoramica y gran oficina. Gran terraza techada de 40 m2, piscina temperada y riego automatico. Gran dormitorio principal de 40 m2, en suite con walking closet. Cocina amoblada y equipada. Habitacion de servicio en suite."
https://www.toctoc.com/propiedades/compraparticularsr/casa/puente-alto/casa-completamente-remodelada-en-puente-alto/3404298,3990,2,3,115,77,38.00,Si,-33.592495,-70.543411,"Informacion adicional Casa completamente remodelada en Puente Alto, Sector Parque Cardenal Fresno. Superficie terreno: 115 m2 Superficie construida: 77 m2 Ano construccion: 2013 Ano remodelacion: 2023 Orientacion: Sur Oriente Primer Piso: - Living comedor ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/la-florida/el-nocedal-387-la-florida/1930231,3516,2,3,117,70,47.00,Si,-33.55047362,-70.5833719,"Informacion adicional Espectacular casa en pasaje cerrado a pasos del metro, 3 dormitorios, 2 banos, cocina, living comedor, patio techado cerrado, patrio trasero para hacer parrillas, patio delantero acogedor. Cercano al metro, locomocion colectiva, supermercados. colegios y almacenes varios. Excelente forma de vivir, tranquila y familiar"
