Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
La Reina Carlos Ossandon;566587500;3;09-06-2025;4;156;410;5;La Reina;-33.435.192.469.683.500;-7.054.303.834.573.450;ConVero.cl  VVV asesorías Inmobiliarias
Lo Espejo Pasaje Pedro Prado 03492;80000000;1;09-06-2025;2;51;120;3;Lo Espejo;-33.527.232.465.818.600;-7.070.168.394.024.180;
Puente Alto Pasaje Hinojillo;3850;2;09-06-2025;3;80;140;1;Puente Alto;-335.572.274;-7.055.554.029.999.990;
Puente Alto Nonato coo;100000000;1;08-06-2025;3;;;1;Puente Alto;-33.571.550.492.991.000;-7.057.152.535.751.680;
Maipu Pedro de ona;115000000;2;08-06-2025;3;59;152;3;Maipu;-3.354.627.499.166.540;-7.078.016.115.062.450;
Maipu Glorias Navales 1740;66000000;1;08-06-2025;2;54;80;1;Maipu;-335.368.874;-707.755.238;
Puente Alto Flor de Nieve;160000000;3;08-06-2025;5;120;200;2;Puente Alto;-335.879.039;-7.058.547.659.999.990;
Renca Los Acacios 1846;98000000;2;07-06-2025;5;138;114;1;Renca;-334.019.238;-706.915.822;De La Barrera Propiedades
Lampa Capachito;85000000;1;06-06-2025;3;51;93;1;Lampa;-332.936.484;-708.841.426;Casol Propiedades
Lampa Queltehue Sur;139000000;3;06-06-2025;3;;175;2;Lampa;-332.959.703;-708.825.582;Casol Propiedades
Lampa Cerro El Paraguas;135000000;2;06-06-2025;3;;180;2;Lampa;-332.943.637;-708.747.498;Casol Propiedades
Lampa Camino Las Flores;89900000;2;06-06-2025;2;52;99;1;Lampa;-333.000.151;-708.805.181;Casol Propiedades
Lampa Cam. Las Flores 1001;83000000;1;06-06-2025;3;53;102;2;Lampa;-33.300.047;-7.087.958.119.999.990;Casol Propiedades
Macul El libano 670 mtrs terreno 168 construidos;320000000;2;05-06-2025;3;168;670;4;Macul;-334.907.068;-705.906.268;Chiong Propiedades
Maipu Milonga 3 dormitorios 1 bano villa san luis 1 maipu;53000000;1;05-06-2025;3;49;55;1;Maipu;-335.125.337;-70.782.432;Chiong Propiedades
Maipu Simon Bolivar;125000000;1;05-06-2025;2;75;140;1;Maipu;-334.782.047;-7.072.959.639.999.990;Chiong Propiedades
Colina Las Brisas de Chicureo;1152712500;6;03-06-2025;8;460;5891;4;Colina;-332.390.458;-706.762.955;Arboleda Estudio
La Florida Villa Los Manantiales;166000000;2;02-06-2025;3;68;188;2;La Florida;-335.456.109;-70.576.936;
Nunoa Los Aliaga 5571;330000000;1;02-06-2025;3;90;224;2;Nunoa;-334.578.061;-705.737.311;
Las Condes Paul Harris 9233;664275000;3;02-06-2025;4;204;830;4;Las Condes;-333.931.268;-70.538.679;
La Florida Los Manantiales;166000000;2;02-06-2025;3;68;188;3;La Florida;-335.456.109;-70.576.936;
Las Condes Latadia Int 5335;429825000;1;02-06-2025;3;108;279;3;Las Condes;-3.342.760.089.999.990;-705.684.417;
Penalolen Ojos del  Salado Penalolen;203776125;2;02-06-2025;3;80;162;1;Penalolen;-33.494.820.394.870.000;-7.057.694.070.920.370;
Estacion Central Gloria 471;125000000;1;31-05-2025;3;80;190;1;Estacion Central;-334.494.986;-707.019.068;
Estacion Central pasaje Gloria 463 estacion Central;125000000;2;31-05-2025;3;90;189;1;Estacion Central;-334.495.325;-707.021.409;
Quilicura Pasaje Caceres;150438750;2;31-05-2025;3;70;120;1;Quilicura;-333.805.392;-707.325.401;Catherine Rodriguez
Conchali Metro cardenal caro;150000000;1;31-05-2025;5;53;180;2;Conchali;-333.733.384;-706.862.275;Catherine Rodriguez
Maipu Nva Antumalal;125000000;1;31-05-2025;3;62;151;1;Maipu;-335.262.745;-707.637.319;Catherine Rodriguez
Quilicura Valle lo campino;273525000;3;31-05-2025;4;108;233;2;Quilicura;-333.666.667;-707.333.333;Catherine Rodriguez
Maipu Pasaje Vitor Maipu;2960;1;30-05-2025;3;45;149;2;Maipu;-335.166.667;-707.666.667;
San Bernardo Los reales;545096250;4;30-05-2025;6;340;2500;4;San Bernardo;-336.420.414;-706.775.988;Casasydepas Ltda.
Puente Alto Inmaculada Concepcion;198188400;2;29-05-2025;3;152;141;1;Puente Alto;-335.837.483;-705.584.255;Bissac
Puente Alto San maximo 02758;175798425;2;29-05-2025;3;89;181;3;Puente Alto;-3.359.225.500.000.000;-705.449.986;Bissac
Puente Alto Conjunto Habitacional Nuevo Siglo Condominio Dos;108433125;2;29-05-2025;3;65;65;1;Puente Alto;-335.890.757;-705.621.026;Bissac
Nunoa Atractiva y solida casa en barrio tranquilo (99031);433732500;3;29-05-2025;5;144;286;2;Nunoa;-334.608.458;-705.846.358;V&o Propiedades
Puente Alto Pasaje los Infantes Poniente;120000000;2;28-05-2025;3;57;97;1;Puente Alto;-33.596.687;-705.486.232;
Pudahuel Lago Cochrane 7230;250000000;2;28-05-2025;3;62;153;1;Pudahuel;-334.649.754;-707.366.941;Valben Propiedades SpA
Puente Alto La Justicia;48000000;1;28-05-2025;2;;108;1;Puente Alto;-3.362.795.699.999.990;-706.082.302;Lara Propiedades
La Pintana Francisco Miranda;68000000;1;28-05-2025;2;;128;1;La Pintana;-335.792.406;-7.063.549.859.999.990;Lara Propiedades
Puente Alto Uruguay;85000000;1;28-05-2025;3;116;297;2;Puente Alto;-3.361.394.866.184.320;-7.058.208.892.736.590;Lara Propiedades
La Pintana Los Monarcas;80000000;2;28-05-2025;2;;;1;La Pintana;-335.649.388;-7.062.702.399.999.990;Lara Propiedades
La Granja Osorno;203190000;4;28-05-2025;9;157;516;2;La Granja;-335.248.112;-706.172.218;Lara Propiedades
